ID,Label,Degree
187,Node188,1
188,Node189,1
189,Node190,1
190,Node191,1
191,Node192,1
192,Node193,1
193,Node194,4
194,Node195,2
195,Node196,1
196,Node197,1
197,Node198,1
198,Node199,1
199,Node200,1
200,Node201,1
201,Node202,1
202,Node203,1
203,Node204,9
204,Node205,1
205,Node206,1
206,Node207,1
207,Node208,1
208,Node209,1
209,Node210,1
210,Node211,1
211,Node212,2
212,Node213,4
213,Node214,1
214,Node215,3
215,Node216,1
216,Node217,1
217,Node218,1
218,Node219,1
219,Node220,1
220,Node221,1
221,Node222,1
222,Node223,2
223,Node224,1
224,Node225,1
225,Node226,32
226,Node227,2
227,Node228,1
228,Node229,1
229,Node230,17
230,Node231,1
231,Node232,1
232,Node233,1
233,Node234,1
234,Node235,14
235,Node236,2
236,Node237,1
237,Node238,1
238,Node239,3
239,Node240,1
240,Node241,3
241,Node242,2
242,Node243,11
243,Node244,1
244,Node245,1
245,Node246,2
246,Node247,5
247,Node248,1
248,Node249,1
249,Node250,1
250,Node251,1
251,Node252,3
252,Node253,4
253,Node254,1
254,Node255,3
255,Node256,1
256,Node257,1
257,Node258,1
258,Node259,1
259,Node260,1
260,Node261,1
261,Node262,1
262,Node263,1
263,Node264,1
264,Node265,2
265,Node266,1
266,Node267,5
267,Node268,1
268,Node269,1
269,Node270,1
270,Node271,1
271,Node272,1
272,Node273,1
273,Node274,1
274,Node275,1
275,Node276,1
276,Node277,8
277,Node278,5
278,Node279,1
279,Node280,1
280,Node281,1
281,Node282,1
282,Node283,1
283,Node284,1
284,Node285,5
285,Node286,1
286,Node287,1
287,Node288,1
288,Node289,8
289,Node290,10
290,Node291,1
291,Node292,1
292,Node293,1
293,Node294,1
294,Node295,3
295,Node296,1
296,Node297,1
297,Node298,2
298,Node299,3
299,Node300,1
300,Node301,1
301,Node302,42
302,Node303,1
303,Node304,2
304,Node305,1
305,Node306,3
306,Node307,2
307,Node308,3
308,Node309,3
309,Node310,1
310,Node311,1
311,Node312,1
312,Node313,1
313,Node314,1
314,Node315,1
315,Node316,2
316,Node317,2
317,Node318,1
318,Node319,1
319,Node320,1
320,Node321,1
321,Node322,1
322,Node323,1
323,Node324,1
324,Node325,1
325,Node326,2
326,Node327,1
327,Node328,1
328,Node329,1
329,Node330,1
330,Node331,1
331,Node332,2
332,Node333,1
333,Node334,1
334,Node335,1
335,Node336,1
336,Node337,2
337,Node338,2
338,Node339,1
339,Node340,1
340,Node341,1
341,Node342,1
342,Node343,13
343,Node344,1
344,Node345,1
345,Node346,2
346,Node347,1
347,Node348,2
348,Node349,1
349,Node350,1
350,Node351,1
351,Node352,1
352,Node353,2
353,Node354,1
354,Node355,2
355,Node356,1
356,Node357,1
357,Node358,1
358,Node359,1
359,Node360,1
360,Node361,1
361,Node362,1
362,Node363,1
363,Node364,1
364,Node365,1
365,Node366,1
366,Node367,1
367,Node368,1
368,Node369,2
369,Node370,1
370,Node371,1
371,Node372,1
372,Node373,2
373,Node374,1
374,Node375,1
375,Node376,4
376,Node377,1
377,Node378,1
378,Node379,1
379,Node380,2
380,Node381,2
381,Node382,1
382,Node383,1
383,Node384,1
384,Node385,1
385,Node386,1
386,Node387,1
387,Node388,1
388,Node389,1
389,Node390,3
390,Node391,1
391,Node392,1
392,Node393,1
393,Node394,1
394,Node395,1
395,Node396,1
396,Node397,1
397,Node398,2
398,Node399,1
399,Node400,1
400,Node401,1
401,Node402,1
402,Node403,1
403,Node404,1
404,Node405,1
405,Node406,9
406,Node407,1
407,Node408,1
408,Node409,1
409,Node410,2
410,Node411,1
411,Node412,1
412,Node413,1
413,Node414,1
414,Node415,1
415,Node416,1
416,Node417,1
417,Node418,1
418,Node419,1
419,Node420,1
420,Node421,1
421,Node422,1
422,Node423,1
423,Node424,1
424,Node425,2
425,Node426,2
426,Node427,1
427,Node428,2
428,Node429,1
429,Node430,2
430,Node431,1
431,Node432,3
432,Node433,2
433,Node434,1
434,Node435,1
435,Node436,11
436,Node437,1
437,Node438,1
438,Node439,1
439,Node440,3
440,Node441,2
441,Node442,1
442,Node443,1
443,Node444,5
444,Node445,1
445,Node446,4
446,Node447,1
447,Node448,1
448,Node449,1
449,Node450,2
450,Node451,4
451,Node452,5
452,Node453,1
453,Node454,1
454,Node455,1
455,Node456,1
456,Node457,1
457,Node458,1
458,Node459,1
459,Node460,2
460,Node461,1
461,Node462,1
462,Node463,1
463,Node464,1
464,Node465,1
465,Node466,1
466,Node467,1
467,Node468,1
468,Node469,1
469,Node470,8
470,Node471,1
471,Node472,1
472,Node473,1
473,Node474,1
474,Node475,1
475,Node476,1
476,Node477,1
477,Node478,2
478,Node479,1
479,Node480,1
480,Node481,4
481,Node482,1
482,Node483,1
483,Node484,1
484,Node485,1
485,Node486,1
486,Node487,3
487,Node488,4
488,Node489,1
489,Node490,1
490,Node491,1
491,Node492,3
492,Node493,1
493,Node494,1
494,Node495,1
495,Node496,1
496,Node497,1
497,Node498,1
498,Node499,1
499,Node500,2
500,Node501,1
501,Node502,3
502,Node503,3
503,Node504,1
504,Node505,13
505,Node506,1
506,Node507,1
507,Node508,1
508,Node509,1
509,Node510,1
510,Node511,2
511,Node512,1
512,Node513,2
513,Node514,1
514,Node515,1
515,Node516,1
516,Node517,1
517,Node518,1
518,Node519,1
519,Node520,1
520,Node521,1
521,Node522,1
522,Node523,1
523,Node524,1
524,Node525,1
525,Node526,1
526,Node527,1
527,Node528,2
528,Node529,1
529,Node530,2
530,Node531,1
531,Node532,1
532,Node533,2
533,Node534,1
534,Node535,1
535,Node536,1
536,Node537,1
537,Node538,1
538,Node539,1
539,Node540,1
540,Node541,1
541,Node542,1
542,Node543,1
543,Node544,1
544,Node545,1
545,Node546,2
546,Node547,2
547,Node548,1
548,Node549,1
549,Node550,1
550,Node551,2
551,Node552,1
552,Node553,2
553,Node554,1
554,Node555,4
555,Node556,1
556,Node557,1
557,Node558,1
558,Node559,1
559,Node560,4
560,Node561,2
561,Node562,1
562,Node563,1
563,Node564,1
564,Node565,1
565,Node566,1
566,Node567,1
567,Node568,1
568,Node569,1
569,Node570,1
570,Node571,1
571,Node572,1
572,Node573,1
573,Node574,1
574,Node575,2
575,Node576,1
576,Node577,1
577,Node578,2
578,Node579,1
579,Node580,1
580,Node581,1
581,Node582,2
582,Node583,1
583,Node584,1
584,Node585,1
585,Node586,1
586,Node587,1
587,Node588,1
588,Node589,2
589,Node590,2
590,Node591,1
591,Node592,5
592,Node593,2
593,Node594,5
594,Node595,2
595,Node596,1
596,Node597,1
597,Node598,1
598,Node599,2
599,Node600,1
600,Node601,1
601,Node602,3
602,Node603,1
603,Node604,1
604,Node605,1
605,Node606,1
606,Node607,1
607,Node608,1
608,Node609,1
609,Node610,1
610,Node611,5
611,Node612,1
612,Node613,2
613,Node614,1
614,Node615,1
615,Node616,1
616,Node617,1
617,Node618,1
618,Node619,1
619,Node620,1
620,Node621,1
621,Node622,1
622,Node623,1
623,Node624,1
624,Node625,1
625,Node626,1
626,Node627,1
627,Node628,1
628,Node629,2
629,Node630,1
630,Node631,1
631,Node632,1
632,Node633,1
633,Node634,1
634,Node635,1
635,Node636,1
636,Node637,2
637,Node638,2
638,Node639,1
639,Node640,1
640,Node641,1
641,Node642,1
642,Node643,1
643,Node644,2
644,Node645,6
645,Node646,10
646,Node647,1
647,Node648,1
648,Node649,1
649,Node650,1
650,Node651,2
651,Node652,1
652,Node653,1
653,Node654,1
654,Node655,3
655,Node656,5
656,Node657,3
657,Node658,1
658,Node659,2
659,Node660,1
660,Node661,5
661,Node662,2
662,Node663,1
663,Node664,1
664,Node665,1
665,Node666,1
666,Node667,1
667,Node668,1
668,Node669,1
669,Node670,2
670,Node671,1
671,Node672,7
672,Node673,1
673,Node674,1
674,Node675,1
675,Node676,1
676,Node677,1
677,Node678,1
678,Node679,1
679,Node680,2
680,Node681,1
681,Node682,1
682,Node683,2
683,Node684,1
684,Node685,4
685,Node686,1
686,Node687,1
687,Node688,1
688,Node689,1
689,Node690,1
690,Node691,1
691,Node692,1
692,Node693,1
693,Node694,2
694,Node695,1
695,Node696,1
696,Node697,2
697,Node698,1
698,Node699,2
699,Node700,1
700,Node701,1
701,Node702,1
702,Node703,4
703,Node704,1
704,Node705,1
705,Node706,1
706,Node707,1
707,Node708,1
708,Node709,1
709,Node710,1
710,Node711,1
711,Node712,1
712,Node713,1
713,Node714,1
714,Node715,1
715,Node716,1
716,Node717,1
717,Node718,1
718,Node719,1
719,Node720,1
720,Node721,19
721,Node722,1
722,Node723,4
723,Node724,1
724,Node725,3
725,Node726,1
726,Node727,2
727,Node728,1
728,Node729,2
729,Node730,1
730,Node731,6
731,Node732,1
732,Node733,1
733,Node734,2
734,Node735,1
735,Node736,1
736,Node737,1
737,Node738,2
738,Node739,1
739,Node740,1
740,Node741,1
741,Node742,1
742,Node743,1
743,Node744,1
744,Node745,1
745,Node746,1
746,Node747,2
747,Node748,1
748,Node749,1
749,Node750,1
750,Node751,3
751,Node752,1
752,Node753,1
753,Node754,12
754,Node755,1
755,Node756,5
756,Node757,1
757,Node758,1
758,Node759,1
759,Node760,2
760,Node761,2
761,Node762,1
762,Node763,1
763,Node764,7
764,Node765,2
765,Node766,1
766,Node767,1
767,Node768,2
768,Node769,1
769,Node770,2
770,Node771,1
771,Node772,3
772,Node773,1
773,Node774,1
774,Node775,1
775,Node776,1
776,Node777,1
777,Node778,2
778,Node779,1
779,Node780,1
780,Node781,1
781,Node782,1
782,Node783,2
783,Node784,1
784,Node785,1
785,Node786,1
786,Node787,1
787,Node788,2
788,Node789,1
789,Node790,1
790,Node791,1
791,Node792,1
792,Node793,1
793,Node794,1
794,Node795,2
795,Node796,1
796,Node797,1
797,Node798,2
798,Node799,3
799,Node800,1
800,Node801,1
801,Node802,2
802,Node803,1
803,Node804,1
804,Node805,1
805,Node806,1
806,Node807,1
807,Node808,13
808,Node809,2
809,Node810,1
810,Node811,1
811,Node812,1
812,Node813,1
813,Node814,2
814,Node815,4
815,Node816,2
816,Node817,3
817,Node818,1
818,Node819,1
819,Node820,2
820,Node821,1
821,Node822,1
822,Node823,2
823,Node824,3
824,Node825,1
825,Node826,1
826,Node827,1
827,Node828,1
828,Node829,4
829,Node830,1
830,Node831,1
831,Node832,1
832,Node833,1
833,Node834,1
834,Node835,2
835,Node836,2
836,Node837,1
837,Node838,1
838,Node839,2
839,Node840,1
840,Node841,1
841,Node842,2
842,Node843,1
843,Node844,2
844,Node845,7
845,Node846,1
846,Node847,1
847,Node848,1
848,Node849,9
849,Node850,1
850,Node851,1
851,Node852,1
852,Node853,1
853,Node854,1
854,Node855,1
855,Node856,1
856,Node857,6
857,Node858,1
858,Node859,1
859,Node860,1
860,Node861,1
861,Node862,1
862,Node863,2
863,Node864,1
864,Node865,1
865,Node866,1
866,Node867,1
867,Node868,2
868,Node869,1
869,Node870,1
870,Node871,1
871,Node872,1
872,Node873,1
873,Node874,1
874,Node875,1
875,Node876,1
876,Node877,1
877,Node878,1
878,Node879,1
879,Node880,1
880,Node881,1
881,Node882,1
882,Node883,1
883,Node884,1
884,Node885,1
885,Node886,1
886,Node887,1
887,Node888,1
888,Node889,1
889,Node890,1
890,Node891,1
891,Node892,1
892,Node893,1
893,Node894,1
894,Node895,1
895,Node896,1
896,Node897,1
897,Node898,1
898,Node899,1
899,Node900,1
900,Node901,2
901,Node902,1
902,Node903,1
903,Node904,10
904,Node905,1
905,Node906,1
906,Node907,1
907,Node908,1
908,Node909,1
909,Node910,1
910,Node911,1
911,Node912,1
912,Node913,1
913,Node914,1
914,Node915,3
915,Node916,1
916,Node917,1
917,Node918,5
918,Node919,3
919,Node920,1
920,Node921,1
921,Node922,8
922,Node923,1
923,Node924,2
924,Node925,2
925,Node926,1
926,Node927,1
927,Node928,1
928,Node929,1
929,Node930,4
930,Node931,1
931,Node932,2
932,Node933,1
933,Node934,1
934,Node935,1
935,Node936,1
936,Node937,1
937,Node938,2
938,Node939,3
939,Node940,2
940,Node941,1
941,Node942,1
942,Node943,1
943,Node944,2
944,Node945,1
945,Node946,2
946,Node947,1
947,Node948,8
948,Node949,2
949,Node950,1
950,Node951,1
951,Node952,2
952,Node953,1
953,Node954,4
954,Node955,1
955,Node956,2
956,Node957,1
957,Node958,1
958,Node959,1
959,Node960,1
960,Node961,1
961,Node962,1
962,Node963,2
963,Node964,5
964,Node965,2
965,Node966,1
966,Node967,2
967,Node968,1
968,Node969,1
969,Node970,3
970,Node971,1
971,Node972,1
972,Node973,1
973,Node974,1
974,Node975,1
975,Node976,1
976,Node977,3
977,Node978,1
978,Node979,1
979,Node980,1
980,Node981,1
981,Node982,1
982,Node983,1
983,Node984,2
984,Node985,5
985,Node986,1
986,Node987,1
987,Node988,1
988,Node989,1
989,Node990,2
990,Node991,1
991,Node992,1
992,Node993,3
993,Node994,1
994,Node995,3
995,Node996,1
996,Node997,1
997,Node998,1
998,Node999,2
999,Node1000,1
1000,Node1001,1
1001,Node1002,2
1002,Node1003,1
1003,Node1004,2
1004,Node1005,1
1005,Node1006,1
1006,Node1007,6
1007,Node1008,1
1008,Node1009,1
1009,Node1010,5
1010,Node1011,1
1011,Node1012,1
1012,Node1013,3
1013,Node1014,1
1014,Node1015,1
1015,Node1016,1
1016,Node1017,1
1017,Node1018,1
1018,Node1019,2
1019,Node1020,1
1020,Node1021,1
1021,Node1022,1
1022,Node1023,1
1023,Node1024,1
1024,Node1025,3
1025,Node1026,1
1026,Node1027,1
1027,Node1028,1
1028,Node1029,1
1029,Node1030,4
1030,Node1031,1
1031,Node1032,1
1032,Node1033,1
1033,Node1034,1
1034,Node1035,5
1035,Node1036,1
1036,Node1037,1
1037,Node1038,1
1038,Node1039,1
1039,Node1040,1
1040,Node1041,1
1041,Node1042,1
1042,Node1043,1
1043,Node1044,1
1044,Node1045,2
1045,Node1046,3
1046,Node1047,1
1047,Node1048,2
1048,Node1049,1
1049,Node1050,2
1050,Node1051,1
1051,Node1052,2
1052,Node1053,1
1053,Node1054,1
1054,Node1055,5
1055,Node1056,1
1056,Node1057,1
1057,Node1058,1
1058,Node1059,1
1059,Node1060,2
1060,Node1061,1
1061,Node1062,1
1062,Node1063,2
1063,Node1064,1
1064,Node1065,2
1065,Node1066,1
1066,Node1067,1
1067,Node1068,1
1068,Node1069,1
1069,Node1070,3
1070,Node1071,1
1071,Node1072,2
1072,Node1073,2
1073,Node1074,2
1074,Node1075,1
1075,Node1076,1
1076,Node1077,1
1077,Node1078,2
1078,Node1079,1
1079,Node1080,1
1080,Node1081,4
1081,Node1082,1
1082,Node1083,1
1083,Node1084,3
1084,Node1085,2
1085,Node1086,1
1086,Node1087,5
1087,Node1088,2
1088,Node1089,1
1089,Node1090,2
1090,Node1091,1
1091,Node1092,1
1092,Node1093,1
1093,Node1094,1
1094,Node1095,1
1095,Node1096,1
1096,Node1097,1
1097,Node1098,1
1098,Node1099,2
1099,Node1100,1
1100,Node1101,1
1101,Node1102,1
1102,Node1103,1
1103,Node1104,1
1104,Node1105,1
1105,Node1106,1
1106,Node1107,1
1107,Node1108,2
1108,Node1109,1
1109,Node1110,1
1110,Node1111,1
1111,Node1112,3
1112,Node1113,2
1113,Node1114,1
1114,Node1115,2
1115,Node1116,1
1116,Node1117,1
1117,Node1118,1
1118,Node1119,11
1119,Node1120,2
1120,Node1121,12
1121,Node1122,2
1122,Node1123,4
1123,Node1124,3
1124,Node1125,2
1125,Node1126,1
1126,Node1127,1
1127,Node1128,1
1128,Node1129,1
1129,Node1130,1
1130,Node1131,1
1131,Node1132,1
1132,Node1133,2
1133,Node1134,1
1134,Node1135,6
1135,Node1136,1
1136,Node1137,1
1137,Node1138,2
1138,Node1139,1
1139,Node1140,1
1140,Node1141,1
1141,Node1142,1
1142,Node1143,1
1143,Node1144,1
1144,Node1145,3
1145,Node1146,1
1146,Node1147,1
1147,Node1148,2
1148,Node1149,2
1149,Node1150,1
1150,Node1151,1
1151,Node1152,1
1152,Node1153,1
1153,Node1154,1
1154,Node1155,1
1155,Node1156,2
1156,Node1157,1
1157,Node1158,1
1158,Node1159,3
1159,Node1160,2
1160,Node1161,1
1161,Node1162,1
1162,Node1163,2
1163,Node1164,1
1164,Node1165,1
1165,Node1166,1
1166,Node1167,1
1167,Node1168,1
1168,Node1169,2
1169,Node1170,1
1170,Node1171,1
1171,Node1172,1
1172,Node1173,2
1173,Node1174,1
1174,Node1175,1
1175,Node1176,1
1176,Node1177,1
1177,Node1178,1
1178,Node1179,4
1179,Node1180,1
1180,Node1181,1
1181,Node1182,7
1182,Node1183,1
1183,Node1184,1
1184,Node1185,1
1185,Node1186,1
1186,Node1187,1
1187,Node1188,1
1188,Node1189,1
1189,Node1190,1
1190,Node1191,1
1191,Node1192,1
1192,Node1193,2
1193,Node1194,2
1194,Node1195,1
1195,Node1196,1
1196,Node1197,1
1197,Node1198,1
1198,Node1199,1
1199,Node1200,2
1200,Node1201,1
1201,Node1202,3
1202,Node1203,1
1203,Node1204,4
1204,Node1205,1
1205,Node1206,2
1206,Node1207,20
1207,Node1208,2
1208,Node1209,8
1209,Node1210,1
1210,Node1211,1
1211,Node1212,3
1212,Node1213,1
1213,Node1214,1
1214,Node1215,1
1215,Node1216,1
1216,Node1217,1
1217,Node1218,1
1218,Node1219,1
1219,Node1220,3
1220,Node1221,1
1221,Node1222,1
1222,Node1223,1
1223,Node1224,1
1224,Node1225,1
1225,Node1226,1
1226,Node1227,2
1227,Node1228,1
1228,Node1229,2
1229,Node1230,5
1230,Node1231,1
1231,Node1232,32
1232,Node1233,2
1233,Node1234,1
1234,Node1235,4
1235,Node1236,1
1236,Node1237,1
1237,Node1238,3
1238,Node1239,1
1239,Node1240,1
1240,Node1241,1
1241,Node1242,1
1242,Node1243,1
1243,Node1244,1
1244,Node1245,1
1245,Node1246,1
1246,Node1247,1
1247,Node1248,1
1248,Node1249,1
1249,Node1250,4
1250,Node1251,1
1251,Node1252,1
1252,Node1253,1
1253,Node1254,1
1254,Node1255,1
1255,Node1256,1
1256,Node1257,1
1257,Node1258,1
1258,Node1259,1
1259,Node1260,1
1260,Node1261,1
1261,Node1262,1
1262,Node1263,3
1263,Node1264,1
1264,Node1265,12
1265,Node1266,5
1266,Node1267,1
1267,Node1268,1
1268,Node1269,1
1269,Node1270,1
1270,Node1271,1
1271,Node1272,5
1272,Node1273,3
1273,Node1274,1
1274,Node1275,1
1275,Node1276,1
1276,Node1277,2
1277,Node1278,1
1278,Node1279,1
1279,Node1280,3
1280,Node1281,1
1281,Node1282,5
1282,Node1283,1
1283,Node1284,1
1284,Node1285,1
1285,Node1286,1
1286,Node1287,1
1287,Node1288,2
1288,Node1289,4
1289,Node1290,1
1290,Node1291,2
1291,Node1292,9
1292,Node1293,1
1293,Node1294,1
1294,Node1295,1
1295,Node1296,3
1296,Node1297,6
1297,Node1298,1
1298,Node1299,1
1299,Node1300,1
1300,Node1301,3
1301,Node1302,2
1302,Node1303,1
1303,Node1304,2
1304,Node1305,1
1305,Node1306,1
1306,Node1307,2
1307,Node1308,2
1308,Node1309,1
1309,Node1310,1
1310,Node1311,1
1311,Node1312,1
1312,Node1313,1
1313,Node1314,1
1314,Node1315,1
1315,Node1316,1
1316,Node1317,1
1317,Node1318,1
1318,Node1319,1
1319,Node1320,1
1320,Node1321,1
1321,Node1322,2
1322,Node1323,1
1323,Node1324,1
1324,Node1325,1
1325,Node1326,1
1326,Node1327,1
1327,Node1328,1
1328,Node1329,1
1329,Node1330,2
1330,Node1331,1
1331,Node1332,1
1332,Node1333,1
1333,Node1334,3
1334,Node1335,1
1335,Node1336,1
1336,Node1337,1
1337,Node1338,1
1338,Node1339,1
1339,Node1340,1
1340,Node1341,1
1341,Node1342,1
1342,Node1343,1
1343,Node1344,1
1344,Node1345,1
1345,Node1346,2
1346,Node1347,2
1347,Node1348,9
1348,Node1349,6
1349,Node1350,3
1350,Node1351,1
1351,Node1352,1
1352,Node1353,1
1353,Node1354,1
1354,Node1355,1
1355,Node1356,4
1356,Node1357,1
1357,Node1358,1
1358,Node1359,2
1359,Node1360,1
1360,Node1361,1
1361,Node1362,1
1362,Node1363,1
1363,Node1364,1
1364,Node1365,3
1365,Node1366,37
1366,Node1367,4
1367,Node1368,1
1368,Node1369,1
1369,Node1370,6
1370,Node1371,1
1371,Node1372,1
1372,Node1373,1
1373,Node1374,1
1374,Node1375,1
1375,Node1376,1
1376,Node1377,1
1377,Node1378,1
1378,Node1379,1
1379,Node1380,4
1380,Node1381,1
1381,Node1382,1
1382,Node1383,1
1383,Node1384,1
1384,Node1385,1
1385,Node1386,1
1386,Node1387,1
1387,Node1388,1
1388,Node1389,1
1389,Node1390,2
1390,Node1391,2
1391,Node1392,1
1392,Node1393,1
1393,Node1394,2
1394,Node1395,1
1395,Node1396,1
1396,Node1397,2
1397,Node1398,1
1398,Node1399,1
1399,Node1400,1
1400,Node1401,13
1401,Node1402,1
1402,Node1403,1
1403,Node1404,1
1404,Node1405,1
1405,Node1406,1
1406,Node1407,1
1407,Node1408,1
1408,Node1409,1
1409,Node1410,37
1410,Node1411,3
1411,Node1412,1
1412,Node1413,1
1413,Node1414,2
1414,Node1415,1
1415,Node1416,1
1416,Node1417,3
1417,Node1418,1
1418,Node1419,1
1419,Node1420,2
1420,Node1421,1
1421,Node1422,1
1422,Node1423,1
1423,Node1424,1
1424,Node1425,1
1425,Node1426,2
1426,Node1427,1
1427,Node1428,1
1428,Node1429,1
1429,Node1430,2
1430,Node1431,2
1431,Node1432,1
1432,Node1433,1
1433,Node1434,1
1434,Node1435,4
1435,Node1436,1
1436,Node1437,1
1437,Node1438,1
1438,Node1439,1
1439,Node1440,1
1440,Node1441,1
1441,Node1442,1
1442,Node1443,1
1443,Node1444,1
1444,Node1445,1
1445,Node1446,1
1446,Node1447,1
1447,Node1448,1
1448,Node1449,1
1449,Node1450,1
1450,Node1451,1
1451,Node1452,1
1452,Node1453,1
1453,Node1454,1
1454,Node1455,1
1455,Node1456,1
1456,Node1457,1
1457,Node1458,2
1458,Node1459,1
1459,Node1460,1
1460,Node1461,1
1461,Node1462,1
1462,Node1463,1
1463,Node1464,1
1464,Node1465,1
1465,Node1466,1
1466,Node1467,1
1467,Node1468,1
1468,Node1469,2
1469,Node1470,2
1470,Node1471,1
1471,Node1472,1
1472,Node1473,1
1473,Node1474,4
1474,Node1475,3
1475,Node1476,1
1476,Node1477,1
1477,Node1478,5
1478,Node1479,1
1479,Node1480,19
1480,Node1481,1
1481,Node1482,1
1482,Node1483,1
1483,Node1484,4
1484,Node1485,1
1485,Node1486,2
1486,Node1487,5
1487,Node1488,2
1488,Node1489,1
1489,Node1490,6
1490,Node1491,1
1491,Node1492,2
1492,Node1493,1
1493,Node1494,1
1494,Node1495,1
1495,Node1496,28
1496,Node1497,1
1497,Node1498,4
1498,Node1499,1
1499,Node1500,3
1500,Node1501,1
1501,Node1502,1
1502,Node1503,3
1503,Node1504,1
1504,Node1505,1
1505,Node1506,1
1506,Node1507,2
1507,Node1508,2
1508,Node1509,1
1509,Node1510,1
1510,Node1511,3
1511,Node1512,1
1512,Node1513,1
1513,Node1514,4
1514,Node1515,1
1515,Node1516,1
1516,Node1517,2
1517,Node1518,1
1518,Node1519,1
1519,Node1520,1
1520,Node1521,3
1521,Node1522,1
1522,Node1523,1
1523,Node1524,1
1524,Node1525,1
1525,Node1526,1
1526,Node1527,2
1527,Node1528,1
1528,Node1529,1
1529,Node1530,1
1530,Node1531,2
1531,Node1532,1
1532,Node1533,2
1533,Node1534,1
1534,Node1535,1
1535,Node1536,1
1536,Node1537,1
1537,Node1538,1
1538,Node1539,1
1539,Node1540,3
1540,Node1541,1
1541,Node1542,1
1542,Node1543,1
1543,Node1544,1
1544,Node1545,1
1545,Node1546,1
1546,Node1547,1
1547,Node1548,1
1548,Node1549,1
1549,Node1550,1
1550,Node1551,3
1551,Node1552,2
1552,Node1553,2
1553,Node1554,1
1554,Node1555,2
1555,Node1556,1
1556,Node1557,2
1557,Node1558,3
1558,Node1559,11
1559,Node1560,1
1560,Node1561,5
1561,Node1562,1
1562,Node1563,1
1563,Node1564,1
1564,Node1565,1
1565,Node1566,2
1566,Node1567,4
1567,Node1568,1
1568,Node1569,1
1569,Node1570,1
1570,Node1571,1
1571,Node1572,1
1572,Node1573,2
1573,Node1574,2
1574,Node1575,2
1575,Node1576,2
1576,Node1577,1
1577,Node1578,3
1578,Node1579,1
1579,Node1580,2
1580,Node1581,1
1581,Node1582,2
1582,Node1583,1
1583,Node1584,1
1584,Node1585,2
1585,Node1586,6
1586,Node1587,1
1587,Node1588,1
1588,Node1589,5
1589,Node1590,1
1590,Node1591,1
1591,Node1592,1
1592,Node1593,4
1593,Node1594,2
1594,Node1595,1
1595,Node1596,1
1596,Node1597,2
